Community name,Number of community users,Chat room name,Number of chat room users,Type of chat room,Nature of discussion,Theme 1,Theme 2
former-DOF,115,website_work_in_progr,54,Topic,Principles and practices,Coding,
phparty,107,jobs,20,Topic,Other,Jobs,Web development
Devoverflow,105,tools,37,Topic,Tools,Web development,
Indiedevhour,104,indiedevhour,105,Topic,Processes,Games,
bristol-developers,103,job-opportunities,45,Topic,Other,Jobs,
SkaffolderCommunity,103,suggest-features,104,Project,Products,Web development,
JIRA Talk,100,jira,101,Topic,Products,Issues management,
App Design Club,98,icon-design,29,Topic,Other,Graphical user interface,Mobile development
satRdays,92,budapest,16,Topic,Other,Workshops,
Leading Quality,89,book-recommendations,88,Topic,Principles and practices,Continuous learning (G),Code quality
Bots,89,messenger,87,Topic,Principles and practices,Bots development,
Space Coast Tech,78,lounge,81,Project,Other,Workshops,
Drupal Support,77,drupar-support,78,Project,Products,Software maintenance,
Data Science NZ,71,applications,69,Topic,Principles and practices,Machine learning (G),
Web Developers Scotland,70,js,18,Topic,Principles and practices,Web development,
Perl 6,69,beginners,14,Topic,Principles and practices,Coding,
LiveEdu ICO,66,bountyprogram,62,Project,Other,Workshops,Blockchain
The AppArtment,66,general,66,Project,Products,Coding,Mobile development
AppHub,64,topic-javascript,11,Project,Other,Web development,
Startup Munich,58,events,48,Topic,Other,Workshops,
appswitch,56,general,56,Project,Tools,Containers,
allThings.JS,56,extraresources,56,Topic,Principles and practices,Web development,
curativeai,55,medical-imaging,4,Topic,Processes,Machine learning research,
Picocity,54,bullpen,52,Topic,Techniques,Games,
Hadoop Hangout,54,spark,17,Topic,Products,Big Data,Distributed software
LOTR,52,binjection,6,Topic,Techniques,Coding,Security
Node,50,general,51,Topic,Tools,Web development,
Facebook Bot Developers,48,freelance,47,Topic,Other,Jobs,Bots development
Techruits,48,general,49,Project,Other,Jobs,
Bird Open Source,47,mockingbird,48,Topic,Principles and practices,Software testing,
C++ India,45,cpp,45,Topic,Principles and practices,Coding,
Elixir Community for Rubyists,41,phoenix,41,Topic,Frameworks,Web development,
Salesforce Remote Jobs,41,byprojects,10,Project,Other,Jobs,
DC Metro Area Chief Offices Group,37,devnull,35,Project,Other,Jobs,
freeCodeCamp Chicago Loop,37,group-meetups,37,Project,Other,Workshops,Coding
Element Queries,36,eqcss,6,Topic,Tools,Software maintenance,Front-end (G)
mitter.io community,36,javascript-typescript,7,Topic,Tools,Containers,Web development
IonicCommunity,35,goodreads,33,Topic,Other,Mobile development,
Bespoken Bots,33,general,36,Topic,Frameworks,Bots development,
Epic Digital Creators,33,launches,7,Topic,Products,User experience,
Agile Toolkit,32,php,6,Topic,Frameworks,Web development,
jscraftcamp,31,jscc20-orga,18,Topic,Other,Workshops,
Bayat Games,31,bugs,29,Topic,Products,Games,Software maintenance
SwiftWinnipeg,26,general,26,Topic,Principles and practices,Mobile development,
Codepen Collabs,26,codepencollabs,3,Topic,Principles and practices,Front-end (G),Integrated development environment
Jenca,26,resources,16,Topic,Principles and practices,Cloud computing,
Server Tinkering,26,brainstorming,25,Topic,Other,Server administration,
Digital Vision & Co,25,general,25,Topic,Other,Development technologies,
pucsgroup,19,pucsgroup,10,Topic,Principles and practices,Virtual environment,User experience
Fluffsoft,19,fluffsoft,19,Project,Products,Games,
CherryPro,19,general,19,Topic,Other,Development technologies,
infinimesh community,18,community,18,Topic,Principles and practices,Distributed software,Internet of things
PSJira,18,help,18,Topic,Principles and practices,Configuration,Operational systems
Telecom Application Developers,18,telecomdevs,18,Topic,Principles and practices,Development technologies,
DevOps Israel,17,aws,4,Topic,Products,Cloud computing,
AWS Professionals,17,aws,17,Topic,Products,Cloud computing,
Apphud,17,issues,5,Topic,Principles and practices,Mobile development,
SuperTokens,16,supertokens,15,Project,Products,Security,
SimpleFW,15,general,15,Project,Frameworks,Web development,Back-end
Colibri Framework,15,code,3,Project,Frameworks,Web development,
sw-e,15,general,15,Topic,Principles and practices,Continuous learning (G),
ft13 CODE,14,general,14,Topic,Other,Development technologies,
MindSphere,11,_mindapps,12,Topic,Products,Mobile development,Operational systems
TechyBytes,9,c,4,Topic,Principles and practices,Coding,
Viva,8,it-devops,5,Project,Principles and practices,Coding,
Webcoin,8,general,8,Topic,Products,Bitcoin,
Vincent,8,feedback,8,Topic,Products,Mobile development,Front-end (G)
Elementor Devs,8,elementor,8,Topic,Tools,Graphical user interface,Web development
the-team,7,the-team,4,Topic,Other,Continuous learning (G),
Devops Colombia,7,general,7,Topic,Other,Development technologies,
UnderTest,6,develop,6,Project,Tools,Software testing,
Storm.dev,6,devs-tools,6,Project,Other,Software testing,Software maintenance
Modist,5,general,5,Project,Products,Games,Configuration
