Community/chat room name,Users,Messages,Age (months),Messages/month,Messages/user,Group type,Category,Theme1,Theme2,Theme3
hopelessoptimism/data-engineering-101,18,29,47,0.62,1.6,Project,Libraries,Big data,Workshop,
Hotel-Reservation-Project/requirements,7,65,0,0,9.3,Project,Products,Coding practice,,
IanLunn/Hover,72,50,48,1.04,0.7,Topic,Libraries,User interface,Web development,
iBotPeaches/Apktool,215,1768,40,44.2,8.2,Topic,Tools,Mobile development ,Reverse engineering,
iluwatar/java-design-patterns,797,1330,36,36.94,1.7,Topic,Principles and practices,Design patterns,,
intercooler-js/Lobby,108,2288,30,76.27,21.2,Topic,Libraries,Web development,,
jdubray/sam-architecture,81,1112,41,27.12,13.7,Topic,Principles and practices,Design patterns,,
jenkinsci/configuration-as-code-plugin,291,9408,16,588,32.3,Project,Tools,Software maintenance ,Continuous integration,
katalon-studio/Lobby,965,15471,10,1547.1,16.0,Topic,Tools,Testing,,
kovan-testnet/faucet,20203,135006,21,6428.86,6.7,Project,Other,Blockchain,,
kriasoft/universal-router,222,1031,42,24.55,4.6,Topic,Libraries,Web development,,
laravel/laravel,6982,88799,63,1409.51,12.7,Topic,Frameworks,Web development,,
lightbend/config,236,1797,47,38.23,7.6,Topic,Libraries,Cloud computing,,
lnug/london-node-jobs,48,79,15,5.27,1.6,Topic,Other,Jobs for developers,,
locomotivecms/engine,214,13900,51,272.55,65.0,Topic,Products,Web development,,
lodash/lodash,1007,18368,52,353.23,18.2,Topic,Libraries,Web development,,
ManageIQ/manageiq,627,75738,46,1646.48,120.8,Topic,Frameworks,Cloud computing ,Software components,
ManageIQ/manageiq/ui,233,35997,46,782.54,154.5,Topic,Frameworks,User interface,Software components,
Microsoft/mwt-ds,26,137,22,6.23,5.3,Topic,Libraries,Machine learning system,,
milessabin/shapeless,1338,42131,53,794.92,31.5,Topic,Libraries,Back-end software development,,
Mixer/developers,741,46128,47,981.45,62.3,Topic,Libraries,Games development,,
mochajs/mocha,2094,24242,55,440.76,11.6,Topic,Tools,Testing,,
MonoGame/MonoGame,681,45507,36,1264.08,66.8,Topic,Frameworks,Games development,Testing practice,Coding practice
ngrx/store,1407,44329,41,1081.2,31.5,Topic,Tools,Software components ,Containers,
numenta/public,556,21494,39,551.13,38.7,Topic,Products,Machine learning research,Coding practice,
pattern-lab/node,241,5797,33,175.67,24.1,Topic,Principles and practices,Design patterns,,
PerfectlySoft/PerfectDocs,60,240,0,0,4.0,Topic,Libraries,Web development,Software documentation,
piskvorky/gensim,322,96275,33,2917.42,299.0,Topic,Libraries,Machine learning libraries,,
python-babel/babel/maintenance-corner,6,1743,26,67.04,290.5,Project,Libraries,Web development ,User interface,Software maintenance
R4stl1n/allianceauth,228,136163,28,4862.96,597.2,Project,Tools,Authentication in software,,
rchain/Releases,30,42,4,10.5,1.4,Topic,Frameworks,Blockchain,Release management,
reactioncommerce/architecture,71,280,20,14,3.9,Topic,Frameworks,Design patterns,,
reactjs/redux,3693,16740,41,408.29,4.5,Topic,Libraries,Web development,,
reactor/reactor,1005,38024,50,760.48,37.8,Topic,Libraries,Web development,,
researchgate/gradle-release,162,576,29,19.86,3.6,Topic,Libraries,Software deployment ,Configuration management,
robbyrussell/oh-my-zsh,446,308,32,9.63,0.7,Topic,Frameworks,Command line interface,Configuration management,
robocomp/robocomp,75,354,49,7.22,4.7,Project,Frameworks,Software components,,
scikit-learn/scikit-learn,3200,20372,59,345.29,6.4,Topic,Libraries,Machine learning libraries,,
semantic-release/semantic-release,183,4868,39,124.82,26.6,Topic,Tools,Software deployment,Release management,
senecajs/seneca-in-practice,54,76,29,2.62,1.4,Topic,Libraries,Microservices,Coding practice,
simpleinvoices/simpleinvoices,164,20,23,0.87,0.1,Project,Products,Web development,,
snipe/snipe-it,1808,72178,52,1388.04,39.9,Topic,Products,Web development,Software components,
sorintlab/stolon,180,2163,39,55.46,12.0,Project,Tools,Cloud computing,,
sourcejs/Source,71,732,24,30.5,10.3,Topic,Tools,User interface,Software documentation,
spring-cloud/spring-cloud-security,385,3456,54,64,9.0,Topic,Frameworks,Authentication in software,Distributed software development,
spring-projects/spring-security,951,15890,47,338.09,16.7,Topic,Frameworks,Authentication in software,,
spring-projects/spring-security-oauth,736,11416,52,219.54,15.5,Topic,Libraries,Authentication in software,,
survivejs/maintenance,13,1749,10,174.9,134.5,Project,Products,Software documentation,Software maintenance,
TestAndCode/Lobby,24,11000,29,379.31,458.3,Topic,Frameworks,Testing practice,Coding practice,
thephpleague/tactician-bernard,5,54,31,1.74,10.8,Project,Libraries,Service Oriented Architecture,,
twbs/bootstrap,8946,17296,47,368,1.9,Topic,Frameworks,User interface,Mobile development,
username-availability-checker/Lobby,8,351,2,175.5,43.9,Project,Tools,Authentication in software,,
uttesh/pdfngreport,18,44,31,1.42,2.4,Project,Tools,Testing,,
vaadin/web-components,420,5739,42,136.64,13.7,Topic,Libraries,Web development,,
valor-software/ng2-bootstrap,373,4902,42,116.71,13.1,Topic,Libraries,User interface,,
vespa-engine/Lobby,80,2670,21,127.14,33.4,Topic,Frameworks,Big data,,
webpack/docs,171,938,39,24.05,5.5,Topic,Tools,Module bundler,Software documentation,
webpack/webpack,16642,218888,68,3218.94,13.2,Topic,Tools,Module bundler,Coding quality,
webuildsg/live,105,2432,17,143.06,23.2,Topic,Other,User interface ,Workshop,
